"행정구역","2023년10월_총인구수","2023년10월_세대수","2023년10월_세대당 인구","2023년10월_남자 인구수","2023년10월_여자 인구수","2023년10월_남여 비율"
"서울특별시 양천구 신월6동(1147061000)","13,893","5,377","          2.58","6,789","7,104","          0.96"
"서울특별시 양천구 신월7동(1147061100)","18,662","8,978","          2.08","9,087","9,575","          0.95"
"서울특별시 양천구 신정1동(1147062000)","19,719","6,966","          2.83","9,573","10,146","          0.94"
"서울특별시 양천구 신정2동(1147063000)","18,864","6,858","          2.75","9,257","9,607","          0.96"
"서울특별시 양천구 신정3동(1147064000)","49,764","19,765","          2.52","24,068","25,696","          0.94"
"서울특별시 양천구 신정4동(1147065000)","31,942","16,359","          1.95","15,514","16,428","          0.94"
"서울특별시 양천구 신정6동(1147067000)","23,942","8,189","          2.92","11,601","12,341","          0.94"
"서울특별시 양천구 신정7동(1147068000)","28,346","11,517","          2.46","13,590","14,756","          0.92"
"서울특별시 강서구 (1150000000)","563,663","274,032","          2.06","270,136","293,527","          0.92"
"서울특별시 강서구 염창동(1150051000)","41,360","16,625","          2.49","19,865","21,495","          0.92"
"서울특별시 강서구 등촌제1동(1150052000)","24,923","14,265","          1.75","11,487","13,436","          0.85"
"서울특별시 강서구 등촌제2동(1150053000)","19,420","8,545","          2.27","9,437","9,983","          0.95"
"서울특별시 강서구 등촌제3동(1150053500)","29,496","15,109","          1.95","13,944","15,552","          0.90"
"서울특별시 강서구 화곡제1동(1150054000)","51,088","28,195","          1.81","24,852","26,236","          0.95"
"서울특별시 강서구 화곡제2동(1150055000)","17,141","8,168","          2.10","8,251","8,890","          0.93"
"서울특별시 강서구 화곡제3동(1150056000)","21,148","9,719","          2.18","10,090","11,058","          0.91"
"서울특별시 강서구 화곡제4동(1150057000)","19,817","9,659","          2.05","9,722","10,095","          0.96"
"서울특별시 강서구 화곡본동(1150059000)","33,038","17,384","          1.90","15,992","17,046","          0.94"
"서울특별시 강서구 화곡제6동(1150059100)","24,843","13,115","          1.89","11,893","12,950","          0.92"
"서울특별시 강서구 화곡제8동(1150059300)","23,555","11,769","          2.00","11,349","12,206","          0.93"
"서울특별시 강서구 가양제1동(1150060300)","34,016","20,965","          1.62","15,274","18,742","          0.81"
"서울특별시 강서구 가양제2동(1150060400)","13,499","8,006","          1.69","6,331","7,168","          0.88"
"서울특별시 강서구 가양제3동(1150060500)","14,210","7,734","          1.84","6,523","7,687","          0.85"
"서울특별시 강서구 발산제1동(1150061100)","35,730","13,585","          2.63","16,820","18,910","          0.89"
"서울특별시 강서구 우장산동(1150061500)","43,791","16,802","          2.61","20,934","22,857","          0.92"
